PUMP DETECTED! sleeping 10 sec
after pump value = 0
pot removed: updated level to -1
Value = 0, 2013-07-23 16:20:36 +0000
Value = 0, 2013-07-23 16:20:37 +0000
Value = 1, 2013-07-23 16:20:38 +0000
Value = 0, 2013-07-23 16:20:39 +0000
Value = 0, 2013-07-23 16:20:40 +0000
Value = 0, 2013-07-23 16:20:41 +0000
Value = 0, 2013-07-23 16:20:42 +0000
Value = 0, 2013-07-23 16:20:43 +0000
Value = 0, 2013-07-23 16:20:44 +0000
Value = 0, 2013-07-23 16:20:45 +0000
Value = 0, 2013-07-23 16:20:46 +0000
Value = 0, 2013-07-23 16:20:47 +0000
Value = 0, 2013-07-23 16:20:48 +0000
Value = 0, 2013-07-23 16:20:49 +0000
Value = 0, 2013-07-23 16:20:50 +0000
Value = 0, 2013-07-23 16:20:51 +0000
Value = 0, 2013-07-23 16:20:52 +0000
Value = 0, 2013-07-23 16:20:53 +0000
Value = 0, 2013-07-23 16:20:54 +0000
Value = 0, 2013-07-23 16:20:56 +0000
Value = 0, 2013-07-23 16:20:57 +0000
Value = 1, 2013-07-23 16:20:58 +0000
Value = 0, 2013-07-23 16:20:59 +0000
Value = 0, 2013-07-23 16:21:00 +0000
Value = 0, 2013-07-23 16:21:01 +0000
Value = 1, 2013-07-23 16:21:02 +0000
Value = 0, 2013-07-23 16:21:03 +0000
Value = 0, 2013-07-23 16:21:04 +0000
Value = 0, 2013-07-23 16:21:05 +0000
Value = 0, 2013-07-23 16:21:06 +0000
Value = 0, 2013-07-23 16:21:07 +0000
Value = 0, 2013-07-23 16:21:08 +0000
Value = 640, 2013-07-23 16:21:09 +0000
new pot of coffee added! changing time stamp. value = 0
Value = 871, 2013-07-23 16:21:10 +0000
PUMP DETECTED! sleeping 10 sec
after pump value = 0
pot removed: updated level to -1
Value = 0, 2013-07-23 16:21:21 +0000
Value = 70, 2013-07-23 16:21:22 +0000
Value = 535, 2013-07-23 16:21:23 +0000
Value = 0, 2013-07-23 16:21:24 +0000
Value = 0, 2013-07-23 16:21:26 +0000
Value = 0, 2013-07-23 16:21:27 +0000
Value = 1, 2013-07-23 16:21:28 +0000
Value = 0, 2013-07-23 16:21:29 +0000
Value = 0, 2013-07-23 16:21:30 +0000
Value = 0, 2013-07-23 16:21:31 +0000
Value = 0, 2013-07-23 16:21:32 +0000
Value = 0, 2013-07-23 16:21:33 +0000
Value = 0, 2013-07-23 16:21:34 +0000
Value = 0, 2013-07-23 16:21:35 +0000
new pot of coffee added! changing time stamp. value = 100
Value = 1280, 2013-07-23 16:21:36 +0000
pot removed: updated level to -1
Value = 0, 2013-07-23 16:21:38 +0000
Value = 0, 2013-07-23 16:21:39 +0000
Value = 0, 2013-07-23 16:21:40 +0000
Value = 0, 2013-07-23 16:21:41 +0000
Value = 0, 2013-07-23 16:21:42 +0000
Value = 0, 2013-07-23 16:21:43 +0000
Value = 0, 2013-07-23 16:21:44 +0000
Value = 0, 2013-07-23 16:21:45 +0000
Value = 0, 2013-07-23 16:21:46 +0000
Value = 1, 2013-07-23 16:21:47 +0000
Value = 0, 2013-07-23 16:21:48 +0000
Value = 0, 2013-07-23 16:21:49 +0000
Value = 0, 2013-07-23 16:21:50 +0000
Value = 0, 2013-07-23 16:21:51 +0000
Value = 0, 2013-07-23 16:21:53 +0000
Value = 0, 2013-07-23 16:21:54 +0000
Value = 0, 2013-07-23 16:21:55 +0000
Value = 0, 2013-07-23 16:21:56 +0000
Value = 0, 2013-07-23 16:21:57 +0000
Value = 0, 2013-07-23 16:21:58 +0000
Value = 0, 2013-07-23 16:21:59 +0000
Value = 0, 2013-07-23 16:22:00 +0000
Value = 0, 2013-07-23 16:22:01 +0000
Value = 0, 2013-07-23 16:22:02 +0000
Value = 0, 2013-07-23 16:22:03 +0000
Value = 0, 2013-07-23 16:22:04 +0000
Value = 0, 2013-07-23 16:22:05 +0000
Value = 0, 2013-07-23 16:22:06 +0000
Value = 0, 2013-07-23 16:22:07 +0000
Value = 0, 2013-07-23 16:22:08 +0000
Value = 0, 2013-07-23 16:22:09 +0000
Value = 0, 2013-07-23 16:22:10 +0000
Value = 0, 2013-07-23 16:22:11 +0000
Value = 0, 2013-07-23 16:22:12 +0000
Value = 0, 2013-07-23 16:22:13 +0000
Value = 0, 2013-07-23 16:22:14 +0000
Value = 0, 2013-07-23 16:22:15 +0000
Value = 0, 2013-07-23 16:22:16 +0000
Value = 0, 2013-07-23 16:22:17 +0000
Value = 0, 2013-07-23 16:22:18 +0000
Value = 0, 2013-07-23 16:22:20 +0000
Value = 0, 2013-07-23 16:22:21 +0000
Value = 1, 2013-07-23 16:22:22 +0000
Value = 0, 2013-07-23 16:22:23 +0000
Value = 0, 2013-07-23 16:22:24 +0000
Value = 0, 2013-07-23 16:22:25 +0000
Value = 0, 2013-07-23 16:22:26 +0000
Value = 0, 2013-07-23 16:22:27 +0000
Value = 0, 2013-07-23 16:22:28 +0000
Value = 1, 2013-07-23 16:22:29 +0000
Value = 0, 2013-07-23 16:22:30 +0000
Value = 0, 2013-07-23 16:22:31 +0000
Value = 0, 2013-07-23 16:22:32 +0000
Value = 0, 2013-07-23 16:22:33 +0000
Value = 0, 2013-07-23 16:22:34 +0000
Value = 0, 2013-07-23 16:22:35 +0000
Value = 0, 2013-07-23 16:22:36 +0000
Value = 0, 2013-07-23 16:22:37 +0000
Value = 0, 2013-07-23 16:22:38 +0000
Value = 0, 2013-07-23 16:22:39 +0000
Value = 0, 2013-07-23 16:22:40 +0000
Value = 0, 2013-07-23 16:22:41 +0000
Value = 0, 2013-07-23 16:22:42 +0000
Value = 0, 2013-07-23 16:22:43 +0000
Value = 0, 2013-07-23 16:22:44 +0000
Value = 1, 2013-07-23 16:22:45 +0000
Value = 1, 2013-07-23 16:22:46 +0000PUMP DETECTED! sleeping 10 sec
after pump value = 0
pot removed: updated level to -1
Value = 164, 2013-07-23 16:19:04 +0000
Value = 165, 2013-07-23 16:19:05 +0000
Value = 169, 2013-07-23 16:19:06 +0000
Value = 167, 2013-07-23 16:19:07 +0000
Value = 167, 2013-07-23 16:19:08 +0000
Value = 168, 2013-07-23 16:19:09 +0000
Value = 166, 2013-07-23 16:19:10 +0000
Value = 165, 2013-07-23 16:19:11 +0000
Value = 169, 2013-07-23 16:19:12 +0000
Value = 167, 2013-07-23 16:19:13 +0000
Value = 167, 2013-07-23 16:19:14 +0000
Value = 163, 2013-07-23 16:19:15 +0000
Value = 167, 2013-07-23 16:19:16 +0000
Value = 167, 2013-07-23 16:19:17 +0000
Value = 171, 2013-07-23 16:19:18 +0000
Value = 167, 2013-07-23 16:19:19 +0000
Value = 166, 2013-07-23 16:19:20 +0000
Value = 167, 2013-07-23 16:19:21 +0000
Value = 169, 2013-07-23 16:19:22 +0000
Value = 166, 2013-07-23 16:19:23 +0000
Value = 170, 2013-07-23 16:19:24 +0000
Value = 170, 2013-07-23 16:19:25 +0000
Value = 166, 2013-07-23 16:19:26 +0000
Value = 167, 2013-07-23 16:19:27 +0000
Value = 170, 2013-07-23 16:19:28 +0000
Value = 167, 2013-07-23 16:19:29 +0000
Value = 167, 2013-07-23 16:19:31 +0000
Value = 166, 2013-07-23 16:19:32 +0000
Value = 169, 2013-07-23 16:19:33 +0000
Value = 164, 2013-07-23 16:19:34 +0000
Value = 168, 2013-07-23 16:19:35 +0000
Value = 181, 2013-07-23 16:19:36 +0000
Value = 167, 2013-07-23 16:19:37 +0000
Value = 167, 2013-07-23 16:19:38 +0000
Value = 160, 2013-07-23 16:19:39 +0000
Value = 160, 2013-07-23 16:19:40 +0000
Value = 170, 2013-07-23 16:19:41 +0000
Value = 167, 2013-07-23 16:19:42 +0000
Value = 166, 2013-07-23 16:19:43 +0000
Value = 169, 2013-07-23 16:19:44 +0000
Value = 168, 2013-07-23 16:19:45 +0000
Value = 0, 2013-07-23 16:19:46 +0000
Value = 0, 2013-07-23 16:19:47 +0000
Value = 0, 2013-07-23 16:19:49 +0000
Value = 40, 2013-07-23 16:19:50 +0000
Value = 0, 2013-07-23 16:19:51 +0000
new pot of coffee added! changing time stamp. value = 0
Value = 896, 2013-07-23 16:19:52 +0000
pot removed: updated level to -1
Value = 0, 2013-07-23 16:19:53 +0000
Value = 0, 2013-07-23 16:19:54 +0000
Value = 640, 2013-07-23 16:19:55 +0000
new pot of coffee added! changing time stamp. value = 100
Value = 1023, 2013-07-23 16:19:56 +0000
pot removed: updated level to -1
Value = 169, 2013-07-23 16:19:57 +0000
Value = 167, 2013-07-23 16:19:58 +0000
Value = 169, 2013-07-23 16:19:59 +0000
Value = 168, 2013-07-23 16:20:00 +0000
Value = 170, 2013-07-23 16:20:02 +0000
Value = 168, 2013-07-23 16:20:03 +0000
Value = 170, 2013-07-23 16:20:04 +0000
Value = 169, 2013-07-23 16:20:05 +0000
Value = 168, 2013-07-23 16:20:06 +0000
Value = 0, 2013-07-23 16:20:07 +0000
Value = 0, 2013-07-23 16:20:08 +0000
Value = 0, 2013-07-23 16:20:09 +0000
Value = 0, 2013-07-23 16:20:10 +0000
Value = 0, 2013-07-23 16:20:11 +0000
Value = 0, 2013-07-23 16:20:12 +0000
Value = 0, 2013-07-23 16:20:13 +0000
Value = 512, 2013-07-23 16:20:14 +0000
Value = 0, 2013-07-23 16:20:16 +0000
Value = 168, 2013-07-23 16:20:17 +0000
Value = 171, 2013-07-23 16:20:18 +0000
Value = 172, 2013-07-23 16:20:19 +0000
Value = 171, 2013-07-23 16:20:20 +0000
Value = 172, 2013-07-23 16:20:21 +0000
Value = 171, 2013-07-23 16:20:22 +0000
Value = 171, 2013-07-23 16:20:23 +0000
Value = 170, 2013-07-23 16:20:24 +0000
Value = 175, 2013-07-23 16:20:25 +0000
Value = 172, 2013-07-23 16:20:26 +0000
